Manual extraction with addition of zeros around cut-in and cut-out,,,
ws [m/s],CT [-],ws [m/s],Power [MW]
4.9,0,4.9,0
5.010176391,0.772939347,5,0.155369383
5.488466757,0.794712286,5.49833887,0.219345011
5.997286296,0.811819596,5.996677741,0.289413557
6.495929444,0.82037325,6.504983389,0.371667936
6.994572592,0.82348367,7.013289037,0.467631379
7.493215739,0.82503888,7.511627907,0.575780655
7.991858887,0.824261275,8,0.700685453
8.500678426,0.822706065,8.49833887,0.839299315
8.989145183,0.814152411,8.996677741,0.994668698
9.47761194,0.800933126,9.495016611,1.165270373
9.976255088,0.772161742,9.993355482,1.340441736
10.48507463,0.725505443,10.49169435,1.511043412
10.98371777,0.66718507,11,1.652703732
11.48236092,0.594867807,11.47840532,1.763899467
11.98100407,0.51244168,11.98671096,1.85833968
12.47964722,0.432348367,12.48504983,1.929931455
12.99864315,0.375583204,13.00332226,1.96039604
13.48710991,0.332037325,13.50166113,1.964965727
13.99592944,0.292379471,14,1.972581874
14.49457259,0.263608087,14.49833887,1.995430312
15.00339213,0.237169518,15.00664452,2.009139375
15.50203528,0.212286159,15.50498339,2.007616146
15.99050204,0.193623639,16.00332226,2.009139375
16.49932157,0.177293935,16.51162791,2.007616146
16.99796472,0.160186625,17.00996678,2.007616146
17.48643148,0.148522551,17.49833887,2.007616146
17.99525102,0.136858476,18.00664452,2.009139375
18.50407056,0.125972006,18.50498339,2.007616146
19.0027137,0.115863142,19.00332226,2.007616146
19.49118046,0.106531882,19.50166113,2.007616146
20,0.101088647,20,2.006092917
20.1,0,20.1,0
