LES,,model,
X,Y,X,Y
172.9220023,0.613962264,172.9220023,0.56754717
176.8800931,0.738490566,173.6520958,0.575073932
180.8381839,0.868679245,174.3462395,0.58766028
184.6798603,0.90490566,174.8090019,0.599473165
187.1245634,0.903773585,175.2304463,0.613335223
191.8975553,0.883396226,175.6601543,0.628925017
200.8614668,0.821132075,175.9774771,0.643630853
205.0523865,0.884528302,176.3129799,0.657975071
209.0104773,0.894716981,176.6600518,0.674475609
212.9685681,0.898113208,177.0071236,0.690601134
217.3923166,0.812075472,177.3541954,0.70550787
219.4877765,0.729433962,177.6896982,0.721145879
221.4668219,0.707924528,178.1392389,0.741107244
223.5622817,0.74754717,178.5111016,0.758384593
225.4249127,0.816603774,178.8994915,0.774054746
230.0814901,0.887924528,179.2630906,0.790729397
233.9231665,0.88,179.7258531,0.808354971
238.1140861,0.864150943,180.1307702,0.824480497
242.1885914,0.806415094,180.607994,0.843957694
246.9615832,0.861886792,181.1141404,0.861512953
251.0360885,0.853962264,181.6925935,0.883919934
255.8090803,0.877735849,182.3288919,0.898357904
258.0209546,0.878867925,183.2775549,0.91082706
260.1164144,0.86754717,184.5848589,0.915940863
260.9313155,0.852830189,186.3096624,0.917358491
261.9790454,0.841509434,187.7066356,0.913962264
263.0267753,0.815471698,188.8654116,0.908730401
264.0745052,0.782641509,190.1380084,0.901213111
265.2386496,0.743018868,191.2949146,0.895951576
266.1699651,0.694339623,192.6832019,0.894514029
266.9848661,0.650188679,193.9557987,0.897122068
268.1490105,0.617358491,195.2283955,0.897940277
268.8474971,0.602641509,196.4431469,0.89085766
269.7788126,0.594716981,197.4265172,0.877879558
271.0593714,0.611698113,198.1785062,0.864981816
272.1071013,0.632075472,198.8726498,0.852793919
273.0384168,0.677358491,199.7981748,0.839893499
274.0861467,0.711320755,200.3958091,0.834716981
274.9010477,0.754339623,201.0129262,0.834477981
276.0651921,0.786037736,201.6763679,0.836981132
277.112922,0.809811321,202.1119871,0.841918565
277.8114086,0.833584906,202.9218214,0.854200215
279.4412107,0.850566038,203.5581198,0.866500616
280.2561118,0.857358491,204.1828491,0.876963457
282.1187427,0.864150943,204.9359721,0.887924528
283.6321304,0.857358491,205.9876227,0.898809623
285.0291036,0.856226415,207.2602194,0.904127978
287.5902212,0.848301887,208.301435,0.905844755
291.8975553,0.834716981,209.805413,0.909139505
295.0407451,0.813207547,210.7887832,0.911108319
300.0465658,0.85509434,212.2700815,0.911698113
304.2374854,0.857358491,213.457931,0.903996481
307.7299185,0.79509434,214.2016563,0.891251422
309.7089639,0.732830189,214.7222641,0.879326034
311.8044237,0.720377358,215.1850266,0.86723189
313.6670547,0.763396226,215.6130818,0.853900205
315.5296857,0.827924528,216.1683968,0.838037188
319.371362,0.875471698,216.6542974,0.823074201
324.2607683,0.865283019,217.0430733,0.812075472
327.9860303,0.830188679,217.2759022,0.801886792
331.9441211,0.876603774,217.5566842,0.790673145
335.3201397,0.876603774,218.0194466,0.774041353
339.2782305,0.900377358,218.2797505,0.763165999
341.9557625,0.899245283,218.7135903,0.748728028
345.0989523,0.864150943,219.0220986,0.739446476
349.1734575,0.711320755,219.371362,0.728301887
353.0151339,0.611698113,219.8126512,0.714601916
,,220.0698487,0.706792453
,,220.6032037,0.699320168
,,221.0011641,0.694339623
,,221.6058557,0.694609077
,,222.1653085,0.696603774
,,222.5313806,0.702582774
,,223.0519884,0.713664386
,,223.5725962,0.727221077
,,223.911525,0.739622642
,,224.3245852,0.750368707
,,224.7295023,0.765134813
,,225.1344195,0.781025956
,,225.5971819,0.796776469
,,226.1177897,0.813511389
,,226.3562282,0.823396226
,,226.6383975,0.833058901
,,227.1011599,0.846418712
,,227.6217677,0.86110044
,,228.2002208,0.875050895
,,228.7786738,0.887651305
,,229.6158324,0.900377358
,,230.6297237,0.905150739
,,231.9023204,0.904946187
,,233.1749172,0.901264249
,,234.447514,0.897582311
,,235.7201107,0.894718581
,,236.9927075,0.888888845
,,238.0504503,0.878843875
,,238.9016027,0.866247483
,,239.5957463,0.853262685
,,240.3477353,0.84027119
,,241.3889509,0.828085728
,,241.9557625,0.824528302
,,242.6615476,0.826398173
,,243.7606085,0.836996529
,,244.5704428,0.849512562
,,245.3224318,0.861566527
,,246.3305929,0.875066966
,,247.5205535,0.882752282
,,248.7931502,0.883007972
,,250.065747,0.879632862
,,251.3383438,0.879019206
,,252.6109405,0.883161386
,,253.8835373,0.889707054
,,255.1561341,0.894718581
,,256.3130402,0.896451592
,,257.5552969,0.896981132
,,258.9739244,0.892110541
,,260.1308305,0.881451103
,,260.9695875,0.866810001
,,261.2805588,0.85509434
,,261.6298021,0.84490566
,,262.0397257,0.830949457
,,262.3282887,0.821132075
,,262.5603334,0.810698798
,,262.9652506,0.795370173
,,263.2596042,0.783773585
,,263.5437037,0.772306921
,,263.9679026,0.755103236
,,264.353538,0.737290155
,,264.6659026,0.724633493
,,264.9898364,0.710476782
,,265.105527,0.702695278
,,265.5104441,0.685819728
,,265.9153613,0.66960045
,,266.0888972,0.658818848
,,266.5632287,0.639468218
,,267.0028531,0.623042683
,,267.2650851,0.609504741
,,267.6507205,0.597223091
,,268.113483,0.584341421
,,268.691936,0.57016596
,,268.9639115,0.563018868
,,269.617461,0.558128067
,,270.2444703,0.556226415
,,270.7165218,0.561714122
,,271.4685108,0.576128654
,,271.9891186,0.590472871
,,272.4229584,0.603098283
,,272.6832623,0.615786196
,,273.1460247,0.63139608
,,273.4930966,0.647849741
,,273.8112458,0.662334588
,,274.1679585,0.67606941
,,274.3896988,0.689054209
,,274.7464116,0.700445205
,,275.1011961,0.71687074
,,275.3557155,0.73037118
,,275.6333729,0.740946525
,,276.1126626,0.76264366
,,276.5588979,0.777135204
,,276.963815,0.797198358
,,277.5422681,0.818855313
,,277.9278231,0.830188679
,,278.1606519,0.841509434
,,278.5834836,0.854997116
,,279.219782,0.867995307
,,279.790454,0.877735849
,,280.4923788,0.884235285
,,281.7649755,0.890934367
,,282.5748098,0.892076449
,,283.6321304,0.89245283
,,284.6572409,0.888530879
,,285.9298377,0.882854558
,,287.2024344,0.878661239
,,288.4750312,0.877075961
,,289.747628,0.87656458
,,291.0202247,0.870990535
,,292.1771309,0.859450386
,,293.2183464,0.847012481
,,294.3752526,0.837546263
,,295.6478493,0.83841561
,,296.7469102,0.848317211
,,297.6724351,0.860973873
,,298.6558053,0.873888357
,,299.5813303,0.882299345
,,301.2009989,0.889758192
,,302.4735956,0.890985505
,,303.7461924,0.886127392
,,304.8452532,0.873658662
,,305.5972422,0.860987936
,,306.11785,0.849371933
,,306.6384578,0.836012122
,,307.1590655,0.822511682
,,307.621828,0.80985502
,,307.9688999,0.800573468
,,308.4895076,0.780885326
,,309.0101154,0.766400479
,,309.5307232,0.752984417
,,310.2248668,0.738508945
,,310.6402794,0.731698113
,,311.2082371,0.727783596
,,312.0372526,0.729433962
,,312.5386791,0.736526738
,,313.2328228,0.7493843
,,313.6670547,0.762264151
,,314.0426571,0.772672558
,,314.5054196,0.785947991
,,314.9450439,0.800460964
,,315.3730992,0.813652019
,,315.6461001,0.824528302
,,315.9804749,0.834746456
,,316.5878507,0.848950044
,,317.1663038,0.862562988
,,317.7447568,0.874375873
,,318.6124364,0.888326327
,,319.2549476,0.895849057
,,320.0698487,0.899245283
,,320.8684034,0.898963037
,,321.6203924,0.897889139
,,322.7473807,0.894716981
,,323.6449782,0.888070637
,,324.8018843,0.87645094
,,325.7274093,0.862611203
,,326.7686248,0.850791013
,,328.0412216,0.846444281
,,329.255973,0.854518975
,,330.258625,0.867513149
,,331.0202549,0.877497849
,,331.5948778,0.884528302
,,332.3217743,0.888888845
,,333.5943711,0.891854851
,,334.8669679,0.89292875
,,336.1395646,0.896661826
,,337.4121614,0.902747252
,,338.6847582,0.909241781
,,339.9573549,0.911287303
,,341.2299517,0.910929336
,,342.1554766,0.908914498
,,343.0034924,0.902641509
,,343.6016093,0.891560808
,,344.295753,0.874544628
,,344.6332945,0.864150943
,,344.8742061,0.851340747
,,345.3253995,0.836799648
,,345.5683497,0.824339867
,,345.9732669,0.810558168
,,346.366615,0.795848314
,,346.6095653,0.78299477
,,346.9979552,0.768429563
,,347.4607177,0.748982501
,,347.7780405,0.733408779
,,348.1135433,0.720695865
,,348.3160019,0.707757943
,,348.7961179,0.688744824
,,349.0506373,0.676481924
,,349.38614,0.662100205
,,349.77453,0.645157689
,,350.0802837,0.631114821
,,350.3860375,0.618719327
,,350.8322727,0.602808095
,,351.3528805,0.590191612
,,351.6181607,0.582264151
,,352.1048695,0.574941115
,,352.8987194,0.56754717
