X/D,MA,MB,MC,MD,New Method,PIV
0.0000,0.7643,0.7643,0.7632,0.7632,0.7631,NaN
0.1007,0.7331,0.7331,0.7318,0.7318,0.7317,NaN
0.2013,0.7012,0.7012,0.6997,0.6997,0.6996,NaN
0.3020,0.6691,0.6691,0.6675,0.6675,0.6673,NaN
0.4027,0.6374,0.6374,0.6356,0.6356,0.6354,NaN
0.5034,0.6067,0.6067,0.6048,0.6048,0.6045,NaN
0.6040,0.5776,0.5776,0.5755,0.5755,0.5752,NaN
0.7047,0.5505,0.5505,0.5483,0.5483,0.5479,0.1797
0.8054,0.5258,0.5258,0.5236,0.5236,0.5231,0.1915
0.9060,0.5040,0.5040,0.5016,0.5016,0.5011,0.2031
1.0067,0.4850,0.4850,0.4826,0.4826,0.4819,0.2111
1.1074,0.4691,0.4691,0.4665,0.4665,0.4658,0.2131
1.2081,0.4560,0.4560,0.4534,0.4534,0.4526,0.2114
1.3087,0.4456,0.4456,0.4430,0.4430,0.4420,0.2177
1.4094,0.4376,0.4376,0.4350,0.4350,0.4339,0.2177
1.5101,0.4317,0.4317,0.4290,0.4290,0.4278,0.2210
1.6107,0.4276,0.4276,0.4248,0.4248,0.4235,0.2196
1.7114,0.4248,0.4248,0.4221,0.4221,0.4205,0.2194
1.8121,0.4232,0.4232,0.4204,0.4204,0.4187,0.2226
1.9128,0.4224,0.4224,0.4197,0.4197,0.4178,0.2237
2.0134,0.4223,0.4223,0.4196,0.4196,0.4176,0.2292
2.1141,0.4228,0.4228,0.4200,0.4200,0.4178,0.2295
2.2148,0.4236,0.4236,0.4209,0.4209,0.4185,0.2364
2.3154,0.4248,0.4248,0.4221,0.4221,0.4194,0.2414
2.4161,0.4262,0.4262,0.4235,0.4235,0.4206,0.2459
2.5168,0.4279,0.4279,0.4252,0.4252,0.4220,0.2578
2.6174,0.4297,0.4297,0.4271,0.4271,0.4236,0.2662
2.7181,0.4318,0.4318,0.4291,0.4291,0.4254,0.2795
2.8188,0.4340,0.4340,0.4314,0.4314,0.4274,0.2912
2.9195,0.4364,0.4364,0.4338,0.4338,0.4295,0.2977
3.0201,0.4390,0.4390,0.4364,0.4364,0.4318,0.3112
3.1208,0.4418,0.4418,0.4393,0.4393,0.4343,0.3241
3.2215,0.4448,0.4448,0.4423,0.4423,0.4370,0.3368
3.3221,0.4480,0.4480,0.4455,0.4455,0.4398,0.3457
3.4228,0.4515,0.4515,0.4489,0.4489,0.4429,0.3546
3.5235,0.4551,0.4551,0.4526,0.4526,0.4462,0.3647
3.6242,0.4589,0.4589,0.4564,0.4564,0.4497,0.3760
3.7248,0.4629,0.4629,0.4605,0.4605,0.4533,0.3870
3.8255,0.4672,0.4672,0.4648,0.4648,0.4593,0.3931
3.9262,0.4716,0.4716,0.4693,0.4693,0.4635,0.4059
4.0268,0.4763,0.4763,0.4740,0.4740,0.4679,0.4137
4.1275,0.4812,0.4812,0.4789,0.4789,0.4726,0.4287
4.2282,0.4862,0.4862,0.4840,0.4840,0.4774,0.4363
4.3289,0.4914,0.4914,0.4892,0.4892,0.4824,0.4403
4.4295,0.4968,0.4968,0.4947,0.4947,0.4876,0.4381
4.5302,0.5024,0.5024,0.5003,0.5003,0.4930,0.4359
4.6309,0.5081,0.5081,0.5060,0.5060,0.4986,0.4345
4.7315,0.5139,0.5139,0.5118,0.5118,0.5043,0.4232
4.8322,0.5198,0.5198,0.5178,0.5178,0.5101,0.4104
4.9329,0.5259,0.5259,0.5239,0.5239,0.5160,NaN
5.0336,0.2962,0.4760,0.3736,0.5047,0.2795,NaN
5.1342,0.2712,0.4666,0.3598,0.5038,0.2556,NaN
5.2349,0.2455,0.4551,0.3460,0.5021,0.2290,NaN
5.3356,0.2197,0.4419,0.3324,0.4996,0.2052,NaN
5.4362,0.1943,0.4274,0.3194,0.4965,0.1798,NaN
5.5369,0.1698,0.4122,0.3076,0.4933,0.1566,0.1956
5.6376,0.1470,0.3968,0.2972,0.4901,0.1400,0.2025
5.7383,0.1261,0.3818,0.2886,0.4873,0.1252,0.2054
5.8389,0.1077,0.3678,0.2821,0.4852,0.1199,0.2125
5.9396,0.0920,0.3552,0.2778,0.4840,0.1212,0.2131
6.0403,0.0792,0.3443,0.2757,0.4839,0.1285,0.2134
6.1409,0.0693,0.3354,0.2758,0.4850,0.1436,0.2219
